Age,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
0,0.139767942,0.143380883,0.145651089,0.106898131,0.078167519,0.059354246,0.048080759,0.045468821,0.043469803,0.036795419,0.027197272,0.017960126,0.012456722
1,0.023330475,0.022185568,0.022785233,0.015611531,0.00790324,0.005003788,0.003412168,0.003087957,0.00260536,0.002198679,0.001377499,0.000764516,0.000503431
5,0.00954181,0.007589911,0.007497878,0.002990056,0.002395262,0.001878927,0.001398807,0.001168838,0.000916881,0.000719236,0.00054116,0.000453611,0.000355946
10,0.005800407,0.004980257,0.004968255,0.00171001,0.001192024,0.000866035,0.000722855,0.000669863,0.000589131,0.000518128,0.000363178,0.00030874,0.000281925
15,0.006001082,0.005461529,0.005257588,0.002395061,0.001112557,0.000953995,0.000890773,0.00083951,0.000799861,0.000762086,0.000555227,0.000490543,0.000407268
20,0.006365694,0.006052734,0.005395586,0.002824644,0.001455713,0.001070098,0.001044661,0.001033922,0.000994692,0.000980873,0.000755769,0.000662939,0.000589346
25,0.006515299,0.006419802,0.005744665,0.003592178,0.001693353,0.001463146,0.001279462,0.001242663,0.001211995,0.001165848,0.001014058,0.000912269,0.000816122
30,0.007252534,0.007216331,0.006972414,0.00437887,0.002241174,0.001785923,0.001560412,0.001485487,0.00142895,0.001405803,0.001321861,0.001228963,0.001004663
35,0.009427488,0.009233785,0.00899581,0.005563058,0.002994719,0.002344517,0.002127264,0.001967974,0.001881445,0.001738716,0.001693671,0.001542918,0.00126668
40,0.014667461,0.013575499,0.013169393,0.007729455,0.00431105,0.003333325,0.003059446,0.002931526,0.002769003,0.002529223,0.002273107,0.002084104,0.001768568
45,0.02181416,0.019457231,0.018813802,0.01037477,0.007305948,0.005169563,0.004657101,0.004063532,0.003835152,0.003640859,0.003007688,0.002869715,0.002644374
50,0.026687692,0.02853276,0.028390412,0.014857277,0.011994015,0.009140368,0.008216071,0.007140998,0.007096451,0.00669846,0.005065805,0.004637346,0.00446468
55,0.039611235,0.044786928,0.044271282,0.023453484,0.01972613,0.01457456,0.013196164,0.011553811,0.011564249,0.010994548,0.008391162,0.007780288,0.00752887
60,0.063793861,0.066469374,0.064001718,0.03982446,0.033270477,0.025640479,0.023303858,0.02134415,0.020391804,0.018450103,0.015542267,0.014519082,0.014229032
65,0.08976794,0.094560648,0.090607785,0.059464489,0.049793351,0.041985773,0.037263243,0.03319054,0.034857897,0.033373096,0.027713388,0.026143852,0.025952571
70,0.135206743,0.153098978,0.143535402,0.085288308,0.076263724,0.069703873,0.066705926,0.05995339,0.062111228,0.059950628,0.052163284,0.049562404,0.047556364
75,0.211444522,0.248042777,0.199285062,0.127629942,0.1194146,0.115416007,0.10870612,0.10727859,0.098251948,0.097437188,0.089268805,0.085132128,0.080605234
80,0.279970175,0.358918311,0.282861622,0.186450662,0.177375247,0.187283234,0.179484306,0.170652088,0.148822001,0.142861432,0.129252875,0.121092191,0.116890077
85,0.443948133,0.551500262,0.428259439,0.297636598,0.290801628,0.315999613,0.305461805,0.298674268,0.271031104,0.265783303,0.254696177,0.243610848,0.23384389
90,0.661164542,0.842178775,0.627876931,0.45264958,0.454642476,0.524699642,0.513081992,0.510534688,0.455271592,0.449649869,0.44553199,0.4283179,0.410311748
95,0.984661313,1.286064828,0.920538825,0.688395325,0.710793067,0.871234341,0.861820126,0.872675337,0.764754374,0.760713716,0.779355057,0.75307083,0.71994924
100,1.466439654,1.963909315,1.349614369,1.046920496,1.11126173,1.446635781,1.447593055,1.491695396,1.284616178,1.286968814,1.363301219,1.324053172,1.263251443